duration,duration,duration,duration
462,500,714,463
604,678,462,528
783,1315,565,756
923,783,860,870
1099,939,1038,1087
1181,1244,1212,1158
1375,1259,1194,1218
1361,1453,1388,1343
1527,1645,1462,1683
2849,1810,1679,1590
1943,1712,1852,1777
1909,1987,1937,1945
1976,2043,2094,2012
2115,2172,2098,2185
2226,2242,2348,2397
2383,2577,2511,2588
2558,2618,2445,2794
2961,3513,3160,3038
3238,3183,3015,3325
3645,3388,3366,3475
3451,3450,3442,3620
4366,3600,3749,3781
776,896,867,695
1078,1915,1196,2104
1088,1134,2055,1416
1449,1556,1475,1455
1317,1448,1502,1408
1773,1560,1691,1413
1744,1839,1551,1526
1598,1853,1529,1365
1095,1360,1009,1207
1528,1522,2444,1394
1496,2066,1726,1542
2117,1971,1830,1736
1996,2088,1775,1884
2116,2141,1962,2508
2379,2463,1603,2105
2484,2679,2512,2317
2307,2679,2129,2546
2762,3041,2892,3147
2438,2236,2688,2334
3170,3195,2980,3312
3643,3190,3484,4368
3373,3659,3481,3895
3531,3621,4158,4169
4708,3746,3641,3672
4236,3852,4164,4174
4310,3852,3696,4077
3617,3724,3811,3545
3516,3649,3271,3680
3175,3734,3276,3288
3221,2931,2946,3499
2729,3130,3258,2729
2764,2870,2750,2597
2729,2724,2641,3173
2129,2478,2221,2404
2219,2346,2067,2166
2334,3344,2270,2085
2040,1835,2041,1921
1884,1820,1788,1697
1703,1713,1638,1891
1695,1417,2177,1440
1489,1522,1218,1357
1417,1108,1216,1048
696,1315,1598,693
1252,1397,1293,1225
1186,1506,1388,1641
1470,1606,1384,1800
1492,1544,1424,1302
1824,1906,1694,2001
2103,1873,1895,1654
1948,1898,2059,2043
2126,2684,1875,2282
2683,2657,2299,2533
2339,3221,2380,2342
2471,2664,2483,4520
2833,3165,2862,3109
3375,3134,2986,2871
3480,3168,3182,3196
5069,3928,3041,3254
3618,3500,3747,3695
3968,3922,3712,3756
4395,4102,3723,3900
4424,3968,3937,4060
4346,4436,4262,4527
4851,4563,4424,4277
5810,4973,5466,4905
5306,4518,5151,5476
5230,5596,5271,5183
5530,5919,5549,5707
6186,5567,5594,5630
5239,5588,5341,5061
1853,1616,1418,1215
1620,1196,1160,1180
1120,1052,1639,916
1025,611,1150,1009
932,677,590,489
644,652,899,794
199,389,147,414
908,769,847,891
1050,967,1304,1061
1200,835,1535,1159
1778,1544,1501,1480
1394,1395,1455,1470
1737,1458,1748,1691
1874,1753,2031,2060
2032,1741,1909,2080
2169,2168,2074,2513
2379,2377,2134,2534
2515,2401,2259,2023
2998,2318,2977,2572
2426,2578,2507,2076
4185,2690,3140,3303
3517,3105,3082,3343
3601,3317,3354,3296
3398,3117,3318,3318
3816,3693,3706,4019
4101,4139,4471,4111
4226,3979,4568,3954
3173,2318,2967,2682
2902,2858,3064,3180
3682,3343,3122,3461
3460,3388,3646,3774
4023,3735,4339,3922
3591,4033,3959,4929
409,511,407,427
449,614,468,381
560,513,994,614
690,692,717,749
887,906,956,797
1021,1074,958,1028
1078,1039,1225,1181
1144,1284,1267,1177
1331,1407,1428,1329
1473,1886,1933,1570
1636,1687,1790,1746
1907,1898,1829,1734
2049,2138,1707,1947
2050,2358,1963,2071
2172,2199,2143,2130
2245,2418,2254,2267
2373,2603,2299,2281
2740,2872,2887,3051
3120,2938,2895,2965
3130,3476,3429,3338
3388,3212,3381,3574
3515,3458,3802,3685
698,725,688,665
915,717,746,841
1031,719,831,1198
1045,978,996,956
1240,1263,3170,1054
1349,1299,1298,1365
1256,1423,1402,1453
1614,1088,884,1047
1585,1550,1538,1838
1742,1898,1709,1359
1848,1883,1860,1511
2163,2068,2157,1629
2356,2091,1683,2298
2314,2429,2313,2591
2373,2839,2314,2376
2774,3220,2830,2948
3013,3165,2799,3219
3350,2556,2465,2859
3704,3462,3272,3664
3712,3243,2887,2959
3669,3615,4070,3792
3383,4165,3853,3726
4032,4139,4391,4675
4534,3390,3614,3860
4520,3390,3328,3800
3658,4073,3862,3633
3409,3607,3055,3386
3275,2984,3024,3023
3383,2820,2820,3627
2583,2872,2824,2749
3061,2829,2689,2625
2344,2371,2283,2220
2244,2125,2159,1932
2013,2016,1866,2163
1969,1939,1950,1913
2267,1774,1593,2073
1791,1931,1860,1619
1498,1455,1927,1257
1271,1398,1348,1610
1884,1312,1183,1493
1190,960,1092,964
740,513,665,638
1220,1263,1375,985
1149,1335,1345,958
1506,1331,1246,1617
1624,1493,1397,1614
1732,1734,1657,1637
1764,1557,1624,1350
2461,2136,1804,1911
1640,2421,2159,1827
2309,2491,2200,2162
2357,2329,2134,2483
2564,2907,2566,2300
2851,3036,2872,2941
3157,3090,3647,3204
2971,2814,2978,3057
3650,3462,3135,3106
3396,3437,3622,3143
3650,3541,3420,4074
3868,3947,3986,3951
4560,4081,4694,4225
4760,4120,4311,4428
4675,4654,4565,4410
4696,4488,4874,4574
5232,4643,4701,5217
5442,5100,5229,5482
5071,5481,5790,5513
5730,5725,5375,5560
5583,6599,5479,0
1965,1435,1877,1549
2533,1680,2091,1484
1661,2015,1734,1055
1647,1236,2034,1530
1230,1313,1012,881
653,630,717,643
1336,952,1305,1581
516,762,561,650
1666,1444,1599,2162
1486,1595,1283,1616
1391,1338,1925,1845
1700,1493,1424,1517
1937,1945,2359,1778
2085,2192,2862,1905
2138,2312,2208,1920
2406,2179,2616,2234
2729,2726,3204,2415
2749,3196,2828,3023
3158,2369,2608,2380
3123,3291,3232,2788
2850,2836,2574,2634
3694,0,0,0
3698,3674,3728,3293
3482,3721,3863,3915
4170,3913,3658,3635
4422,4205,4386,4806
4641,4502,4673,4515
4476,4472,4738,4382
3065,3291,3198,2905
4186,3199,3160,4303
3520,0,4784,0
4017,4338,0,0
4371,4396,4257,4367
4300,4410,4314,4951
545,612,603,550
389,263,364,391
429,399,522,417
584,554,1152,510
690,706,660,539
774,790,889,789
979,870,998,897
1127,1098,1169,995
1332,1331,1271,1397
1323,1583,1243,1273
1764,1614,1545,1465
1609,1625,1654,1720
1703,1700,1770,1715
1735,1909,1821,1799
2094,2036,2091,1910
2203,2392,2459,2146
2231,2281,2342,2305
2487,3082,2608,2790
3142,2847,2777,2972
3075,3270,3085,3151
3608,3205,3256,3317
4048,3289,3598,3691
525,570,620,737
1069,845,969,987
2195,1626,1741,2376
1341,1584,1620,1242
1783,1400,1392,1326
1022,792,1859,1698
1269,1256,1598,1304
1308,1246,1167,1271
865,936,902,879
1466,1346,1249,1221
1433,1152,1698,1539
1545,1743,1591,1385
